# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 5870000000
#
# Overhead  Command      Shared Object     Symbol                                               
# ........  ...........  ................  .....................................................
#
    45.40%  python3-dbg  python3.10d       [.] _PyEval_EvalFrameDefault
     4.68%  python3-dbg  python3.10d       [.] binary_op1
     3.75%  python3-dbg  python3.10d       [.] float_mul.lto_priv.0
     3.66%  python3-dbg  python3.10d       [.] PyFloat_FromDouble
     3.66%  python3-dbg  python3.10d       [.] float_dealloc.lto_priv.0
     3.15%  python3-dbg  python3.10d       [.] float_add.lto_priv.0
     3.07%  python3-dbg  python3.10d       [.] list_ass_item.lto_priv.0
     2.04%  python3-dbg  python3.10d       [.] PyObject_SetItem
     1.96%  python3-dbg  python3.10d       [.] PyNumber_AsSsize_t
     1.79%  python3-dbg  python3.10d       [.] float_sub.lto_priv.0
     1.70%  python3-dbg  libm.so.6         [.] __ieee754_pow_fma
     1.70%  python3-dbg  python3.10d       [.] PyLong_AsSsize_t
     1.70%  python3-dbg  python3.10d       [.] list_ass_subscript.lto_priv.0
     1.62%  python3-dbg  python3.10d       [.] _Py_CheckSlotResult
     1.62%  python3-dbg  python3.10d       [.] get_float_state
     1.36%  python3-dbg  python3.10d       [.] PyNumber_Multiply
     1.36%  python3-dbg  python3.10d       [.] _PyNumber_Index
     1.36%  python3-dbg  python3.10d       [.] binary_iop1
     1.36%  python3-dbg  python3.10d       [.] list_item.lto_priv.0
     1.19%  python3-dbg  python3.10d       [.] PyObject_GetItem
     1.11%  python3-dbg  python3.10d       [.] _Py_NewReference
     0.85%  python3-dbg  python3.10d       [.] PyNumber_InPlaceAdd
     0.85%  python3-dbg  python3.10d       [.] float_pow.lto_priv.0
     0.85%  python3-dbg  python3.10d       [.] listiter_next.lto_priv.0
     0.77%  python3-dbg  python3.10d       [.] _Py_Dealloc
     0.77%  python3-dbg  python3.10d       [.] list_subscript.lto_priv.0
     0.68%  python3-dbg  python3.10d       [.] PyTuple_GetItem
     0.34%  python3-dbg  python3.10d       [.] PyNumber_InPlaceSubtract
     0.26%  python3-dbg  python3.10d       [.] _PyMem_DebugCheckAddress
     0.26%  python3-dbg  python3.10d       [.] arena_map_is_used
     0.26%  python3-dbg  python3.10d       [.] binary_iop
     0.26%  python3-dbg  python3.10d       [.] binary_op
     0.17%  python3-dbg  libm.so.6         [.] pow@@GLIBC_2.29
     0.17%  python3-dbg  python3.10d       [.] _PyObject_GC_Alloc
     0.17%  python3-dbg  python3.10d       [.] ternary_op
     0.17%  python3-dbg  [unknown]         [k] 0xffffffff94800fb2
     0.09%  python3-dbg  libc.so.6         [.] __memcmp_avx2_movbe
