# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 5890000000
#
# Children      Self  Shared Object                            
# ........  ........  .........................................
#
   100.00%    97.28%  python3.10d                              
    98.39%     0.68%  libc.so.6                                
     2.04%     0.25%  [unknown]                                
     1.61%     1.61%  libm.so.6                                
     0.08%     0.08%  ld-linux-x86-64.so.2                     
     0.08%     0.08%  libcrypto.so.3                           
     0.08%     0.00%  _hashlib.cpython-310d-x86_64-linux-gnu.so
     0.08%     0.00%  anon                                     


#
# (Cannot load tips.txt file, please install perf!)
#
