# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 5890000000
#
# Overhead  Command      Shared Object         Symbol                               
# ........  ...........  ....................  .....................................
#
    45.08%  python3-dbg  python3.10d           [.] _PyEval_EvalFrameDefault
     5.43%  python3-dbg  python3.10d           [.] binary_op1
     4.75%  python3-dbg  python3.10d           [.] float_mul.lto_priv.0
     3.31%  python3-dbg  python3.10d           [.] list_ass_item.lto_priv.0
     3.23%  python3-dbg  python3.10d           [.] PyFloat_FromDouble
     3.06%  python3-dbg  python3.10d           [.] float_add.lto_priv.0
     2.80%  python3-dbg  python3.10d           [.] PyNumber_AsSsize_t
     2.63%  python3-dbg  python3.10d           [.] float_dealloc.lto_priv.0
     2.29%  python3-dbg  python3.10d           [.] _Py_CheckSlotResult
     2.12%  python3-dbg  python3.10d           [.] _Py_NewReference
     2.04%  python3-dbg  python3.10d           [.] list_item.lto_priv.0
     1.70%  python3-dbg  python3.10d           [.] binary_iop1
     1.61%  python3-dbg  python3.10d           [.] list_ass_subscript.lto_priv.0
     1.53%  python3-dbg  python3.10d           [.] _PyNumber_Index
     1.44%  python3-dbg  libm.so.6             [.] __ieee754_pow_fma
     1.44%  python3-dbg  python3.10d           [.] get_float_state
     1.19%  python3-dbg  python3.10d           [.] PyObject_GetItem
     1.19%  python3-dbg  python3.10d           [.] float_sub.lto_priv.0
     1.02%  python3-dbg  python3.10d           [.] PyObject_SetItem
     0.93%  python3-dbg  python3.10d           [.] PyLong_AsSsize_t
     0.85%  python3-dbg  python3.10d           [.] PyTuple_GetItem
     0.76%  python3-dbg  python3.10d           [.] _Py_Dealloc
     0.76%  python3-dbg  python3.10d           [.] float_pow.lto_priv.0
     0.76%  python3-dbg  python3.10d           [.] list_subscript.lto_priv.0
     0.68%  python3-dbg  python3.10d           [.] PyNumber_Multiply
     0.59%  python3-dbg  python3.10d           [.] binary_iop
     0.59%  python3-dbg  python3.10d           [.] ternary_op
     0.51%  python3-dbg  python3.10d           [.] listiter_next.lto_priv.0
     0.34%  python3-dbg  python3.10d           [.] _PyObject_Malloc
     0.34%  python3-dbg  python3.10d           [.] read_size_t
     0.25%  python3-dbg  python3.10d           [.] _PyMem_DebugCheckAddress
     0.25%  python3-dbg  python3.10d           [.] validate_list
     0.17%  python3-dbg  libc.so.6             [.] __errno_location
     0.17%  python3-dbg  libc.so.6             [.] pthread_getspecific@@GLIBC_2.34
     0.17%  python3-dbg  libm.so.6             [.] pow@@GLIBC_2.29
     0.17%  python3-dbg  python3.10d           [.] PyNumber_InPlaceSubtract
     0.17%  python3-dbg  python3.10d           [.] PyNumber_Power
     0.17%  python3-dbg  python3.10d           [.] _PyMem_DebugRawAlloc
     0.17%  python3-dbg  python3.10d           [.] lookdict_unicode_nodummy
     0.17%  python3-dbg  python3.10d           [.] write_size_t
     0.08%  python3-dbg  ld-linux-x86-64.so.2  [.] check_match
     0.08%  python3-dbg  libc.so.6             [.] __memset_avx2_unaligned_erms
     0.08%  python3-dbg  libc.so.6             [.] __wcsrtombs
     0.08%  python3-dbg  libc.so.6             [.] _int_malloc
     0.08%  python3-dbg  libc.so.6             [.] pthread_mutex_unlock@@GLIBC_2.2.5
     0.08%  python3-dbg  libcrypto.so.3        [.] OPENSSL_strcasecmp
     0.08%  python3-dbg  python3.10d           [.] PyErr_Occurred
     0.08%  python3-dbg  python3.10d           [.] PyGILState_Check
     0.08%  python3-dbg  python3.10d           [.] PyNumber_Add
     0.08%  python3-dbg  python3.10d           [.] PyNumber_InPlaceAdd
     0.08%  python3-dbg  python3.10d           [.] PyNumber_Subtract
     0.08%  python3-dbg  python3.10d           [.] PyThread_tss_is_created
     0.08%  python3-dbg  python3.10d           [.] PyWeakref_NewRef
     0.08%  python3-dbg  python3.10d           [.] _PyMem_DebugMalloc
     0.08%  python3-dbg  python3.10d           [.] _PyMem_DebugRawFree
     0.08%  python3-dbg  python3.10d           [.] _PyObject_IsFreed
     0.08%  python3-dbg  python3.10d           [.] _PyObject_VectorcallTstate
     0.08%  python3-dbg  python3.10d           [.] _PyType_Lookup
     0.08%  python3-dbg  python3.10d           [.] arena_map_get
     0.08%  python3-dbg  python3.10d           [.] arena_map_is_used
     0.08%  python3-dbg  python3.10d           [.] binary_op
     0.08%  python3-dbg  python3.10d           [.] call_function.lto_priv.0
     0.08%  python3-dbg  python3.10d           [.] compiler_nameop.lto_priv.0
     0.08%  python3-dbg  python3.10d           [.] frame_alloc
     0.08%  python3-dbg  python3.10d           [.] frame_dealloc.lto_priv.0
     0.08%  python3-dbg  python3.10d           [.] free_keys_object.lto_priv.0
     0.08%  python3-dbg  python3.10d           [.] get_gc_state
     0.08%  python3-dbg  python3.10d           [.] listiter_dealloc.lto_priv.0
     0.08%  python3-dbg  python3.10d           [.] lookdict_unicode
     0.08%  python3-dbg  python3.10d           [.] object_dealloc.lto_priv.0
     0.08%  python3-dbg  python3.10d           [.] object_init.lto_priv.0
     0.08%  python3-dbg  python3.10d           [.] tupledealloc.lto_priv.0
     0.08%  python3-dbg  python3.10d           [.] 0x0000000000021100
     0.08%  python3-dbg  python3.10d           [.] 0x00000000000223d0
     0.08%  python3-dbg  [unknown]             [k] 0xffffffffabd5e951
     0.08%  python3-dbg  [unknown]             [k] 0xffffffffabe00be0
     0.08%  python3-dbg  [unknown]             [k] 0xffffffffabe00fb2


#
# (Cannot load tips.txt file, please install perf!)
#
