# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 5325000000
#
# Overhead  Command      Shared Object     Symbol                                        
# ........  ...........  ................  ..............................................
#
    26.38%  python3-dbg  python3.10d       [.] _PyEval_EvalFrameDefault
     3.66%  python3-dbg  python3.10d       [.] frame_dealloc.lto_priv.0
     3.47%  python3-dbg  python3.10d       [.] call_function.lto_priv.0
     3.19%  python3-dbg  python3.10d       [.] binary_op1
     2.54%  python3-dbg  python3.10d       [.] PyTuple_GetItem
     2.35%  python3-dbg  python3.10d       [.] _PyEval_MakeFrameVector
     2.07%  python3-dbg  python3.10d       [.] _PyObject_GetMethod
     1.97%  python3-dbg  python3.10d       [.] _PyDict_GetItemHint
     1.97%  python3-dbg  python3.10d       [.] _PyType_Lookup
     1.97%  python3-dbg  python3.10d       [.] lookdict_split.lto_priv.0
     1.69%  python3-dbg  python3.10d       [.] _PyObject_VectorcallTstate.lto_priv.10
     1.60%  python3-dbg  python3.10d       [.] _PyMem_DebugCheckAddress
     1.31%  python3-dbg  python3.10d       [.] PyFloat_FromDouble
     1.31%  python3-dbg  python3.10d       [.] _PyFrame_New_NoTrack
     1.31%  python3-dbg  python3.10d       [.] _PyFunction_Vectorcall
     1.22%  python3-dbg  python3.10d       [.] _Py_NewReference
     1.13%  python3-dbg  python3.10d       [.] subtype_dealloc.lto_priv.0
     1.03%  python3-dbg  python3.10d       [.] PyDict_SetItem
     1.03%  python3-dbg  python3.10d       [.] _PyEval_Vector
     1.03%  python3-dbg  python3.10d       [.] _Py_CheckFunctionResult
     1.03%  python3-dbg  python3.10d       [.] arena_map_get
     1.03%  python3-dbg  python3.10d       [.] insertdict
     0.94%  python3-dbg  python3.10d       [.] PyDict_GetItemWithError
     0.94%  python3-dbg  python3.10d       [.] lookdict_unicode_nodummy
     0.94%  python3-dbg  python3.10d       [.] read_size_t
     0.85%  python3-dbg  python3.10d       [.] PyType_IsSubtype
     0.85%  python3-dbg  python3.10d       [.] _PyUnicode_FromId
     0.85%  python3-dbg  python3.10d       [.] float_mul.lto_priv.0
     0.75%  python3-dbg  python3.10d       [.] PyObject_SetAttr
     0.75%  python3-dbg  python3.10d       [.] _PyDict_CheckConsistency
     0.75%  python3-dbg  python3.10d       [.] _PyObject_Malloc
     0.75%  python3-dbg  python3.10d       [.] _Py_Dealloc
     0.66%  python3-dbg  python3.10d       [.] PyDict_Contains
     0.66%  python3-dbg  python3.10d       [.] _PyObject_MakeTpCall
     0.66%  python3-dbg  python3.10d       [.] binary_op
     0.66%  python3-dbg  python3.10d       [.] dict_dealloc.lto_priv.0
     0.66%  python3-dbg  python3.10d       [.] is_tstate_valid.lto_priv.0
     0.56%  python3-dbg  libc.so.6         [.] __memset_avx2_unaligned_erms
     0.56%  python3-dbg  python3.10d       [.] float_dealloc.lto_priv.0
     0.56%  python3-dbg  python3.10d       [.] float_sub.lto_priv.0
     0.56%  python3-dbg  python3.10d       [.] frame_alloc
     0.56%  python3-dbg  python3.10d       [.] tupledealloc.lto_priv.0
     0.56%  python3-dbg  python3.10d       [.] type_call.lto_priv.0
     0.47%  python3-dbg  libc.so.6         [.] pthread_getspecific@@GLIBC_2.34
     0.47%  python3-dbg  python3.10d       [.] PyGILState_Check
     0.47%  python3-dbg  python3.10d       [.] PyNumber_Multiply
     0.47%  python3-dbg  python3.10d       [.] PyThread_tss_get
     0.47%  python3-dbg  python3.10d       [.] PyType_GenericAlloc
     0.47%  python3-dbg  python3.10d       [.] _PyObjectDict_SetItem
     0.47%  python3-dbg  python3.10d       [.] _PyObject_VectorcallTstate.lto_priv.6
     0.47%  python3-dbg  python3.10d       [.] slot_nb_subtract
     0.38%  python3-dbg  python3.10d       [.] _PyDict_ContainsId
     0.38%  python3-dbg  python3.10d       [.] _PyObject_Free
     0.38%  python3-dbg  python3.10d       [.] _PyObject_GenericGetAttrWithDict
     0.38%  python3-dbg  python3.10d       [.] _Py_CheckSlotResult
     0.38%  python3-dbg  python3.10d       [.] float_add.lto_priv.0
     0.38%  python3-dbg  python3.10d       [.] listiter_next.lto_priv.0
     0.38%  python3-dbg  python3.10d       [.] new_dict
     0.38%  python3-dbg  python3.10d       [.] slot_tp_init
     0.28%  python3-dbg  python3.10d       [.] PyCallable_Check
     0.28%  python3-dbg  python3.10d       [.] PyObject_GC_UnTrack
     0.28%  python3-dbg  python3.10d       [.] PyObject_IS_GC
     0.28%  python3-dbg  python3.10d       [.] _PyGILState_GetThisThreadState
     0.28%  python3-dbg  python3.10d       [.] _PyTuple_FromArray
     0.28%  python3-dbg  python3.10d       [.] arena_map_is_used
     0.28%  python3-dbg  python3.10d       [.] get_float_state
     0.28%  python3-dbg  python3.10d       [.] get_type_cache.lto_priv.0
     0.28%  python3-dbg  python3.10d       [.] lookup_maybe_method.lto_priv.0
     0.28%  python3-dbg  python3.10d       [.] object_new.lto_priv.0
     0.28%  python3-dbg  python3.10d       [.] tuple_alloc
     0.28%  python3-dbg  python3.10d       [.] 0x0000000000022670
     0.19%  python3-dbg  libc.so.6         [.] __errno_location
     0.19%  python3-dbg  python3.10d       [.] PyFunction_NewWithQualName
     0.19%  python3-dbg  python3.10d       [.] PyNumber_Add
     0.19%  python3-dbg  python3.10d       [.] PyNumber_Subtract
     0.19%  python3-dbg  python3.10d       [.] PyObject_RichCompare
     0.19%  python3-dbg  python3.10d       [.] PyThreadState_Get
     0.19%  python3-dbg  python3.10d       [.] PyThread_tss_is_created
     0.19%  python3-dbg  python3.10d       [.] _PyMem_DebugFree
     0.19%  python3-dbg  python3.10d       [.] _PyNumber_Index
     0.19%  python3-dbg  python3.10d       [.] _PyObject_FastCallDictTstate
     0.19%  python3-dbg  python3.10d       [.] _PyObject_GetDictPtr
     0.19%  python3-dbg  python3.10d       [.] _PyTrash_begin
     0.19%  python3-dbg  python3.10d       [.] _PyTrash_end
     0.19%  python3-dbg  python3.10d       [.] _PyUnicode_CheckConsistency
     0.19%  python3-dbg  python3.10d       [.] cfunction_vectorcall_O.lto_priv.0
     0.19%  python3-dbg  python3.10d       [.] convert_to_double
     0.19%  python3-dbg  python3.10d       [.] float_div.lto_priv.0
     0.19%  python3-dbg  python3.10d       [.] float_richcompare.lto_priv.0
     0.19%  python3-dbg  python3.10d       [.] long_mul.lto_priv.0
     0.19%  python3-dbg  python3.10d       [.] math_1_to_whatever
     0.19%  python3-dbg  python3.10d       [.] r_byte
     0.19%  python3-dbg  python3.10d       [.] tupletraverse.lto_priv.0
     0.19%  python3-dbg  python3.10d       [.] vgetargskeywords
     0.19%  python3-dbg  python3.10d       [.] write_size_t
     0.09%  python3-dbg  libc.so.6         [.] __memmove_avx_unaligned_erms
     0.09%  python3-dbg  libc.so.6         [.] __strchr_avx2
     0.09%  python3-dbg  libc.so.6         [.] _int_malloc
     0.09%  python3-dbg  libc.so.6         [.] malloc
     0.09%  python3-dbg  libcrypto.so.3    [.] 0x00000000000d7f23
     0.09%  python3-dbg  libm.so.6         [.] __sqrt_finite@GLIBC_2.15
     0.09%  python3-dbg  python3.10d       [.] PyArg_ParseTupleAndKeywords
     0.09%  python3-dbg  python3.10d       [.] PyFloat_AsDouble
     0.09%  python3-dbg  python3.10d       [.] PyLong_FromLong
     0.09%  python3-dbg  python3.10d       [.] PyLong_FromSsize_t
     0.09%  python3-dbg  python3.10d       [.] PyMem_Free
     0.09%  python3-dbg  python3.10d       [.] PyMem_Malloc
     0.09%  python3-dbg  python3.10d       [.] PyObject_ClearWeakRefs
     0.09%  python3-dbg  python3.10d       [.] PyObject_Free
     0.09%  python3-dbg  python3.10d       [.] PyObject_GetItem
     0.09%  python3-dbg  python3.10d       [.] PyObject_GetIter
     0.09%  python3-dbg  python3.10d       [.] PyObject_Hash
     0.09%  python3-dbg  python3.10d       [.] PyObject_IsTrue
     0.09%  python3-dbg  python3.10d       [.] PyObject_Malloc
     0.09%  python3-dbg  python3.10d       [.] PyObject_RichCompareBool
     0.09%  python3-dbg  python3.10d       [.] PySequence_Contains
     0.09%  python3-dbg  python3.10d       [.] PyTuple_New
     0.09%  python3-dbg  python3.10d       [.] PyType_Ready
     0.09%  python3-dbg  python3.10d       [.] PyUnicode_InternInPlace
     0.09%  python3-dbg  python3.10d       [.] PyUnicode_New
     0.09%  python3-dbg  python3.10d       [.] _PyDict_DelItemId
     0.09%  python3-dbg  python3.10d       [.] _PyDict_GetItem_KnownHash
     0.09%  python3-dbg  python3.10d       [.] _PyDict_LoadGlobal
     0.09%  python3-dbg  python3.10d       [.] _PyMem_DebugRawAlloc
     0.09%  python3-dbg  python3.10d       [.] _PyMem_DebugRawFree
     0.09%  python3-dbg  python3.10d       [.] _PyMem_DebugRawMalloc
     0.09%  python3-dbg  python3.10d       [.] _PyObject_Call_Prepend
     0.09%  python3-dbg  python3.10d       [.] _PyObject_GC_Alloc
     0.09%  python3-dbg  python3.10d       [.] _PyObject_GenericSetAttrWithDict
     0.09%  python3-dbg  python3.10d       [.] _PyObject_IsFreed
     0.09%  python3-dbg  python3.10d       [.] _PyObject_Realloc
     0.09%  python3-dbg  python3.10d       [.] _PyPegen_add_type_comment_to_arg
     0.09%  python3-dbg  python3.10d       [.] _PyPegen_expect_token
     0.09%  python3-dbg  python3.10d       [.] _PyPegen_seq_flatten
     0.09%  python3-dbg  python3.10d       [.] _PyType_LookupId
     0.09%  python3-dbg  python3.10d       [.] all_name_chars
     0.09%  python3-dbg  python3.10d       [.] cell_dealloc.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] cleanreturn
     0.09%  python3-dbg  python3.10d       [.] do_call_core.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] excess_args
     0.09%  python3-dbg  python3.10d       [.] float_neg.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] intern_strings
     0.09%  python3-dbg  python3.10d       [.] long_sub.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] method_dealloc.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] method_vectorcall_FASTCALL_KEYWORDS_METHOD
     0.09%  python3-dbg  python3.10d       [.] min_max
     0.09%  python3-dbg  python3.10d       [.] new_dict_with_shared_keys.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] object_dealloc.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] take_gil
     0.09%  python3-dbg  python3.10d       [.] tupleitem.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] tupleiter_next.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] type_dealloc.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] unicode_dealloc.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] unicode_hash.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] validate_list
     0.09%  python3-dbg  python3.10d       [.] vgetargs1_impl
     0.09%  python3-dbg  [unknown]         [k] 0xffffffff9480008c
     0.09%  python3-dbg  [unknown]         [k] 0xffffffff94800be0
     0.09%  python3-dbg  [unknown]         [k] 0xffffffff94800fe0


#
# (Cannot load tips.txt file, please install perf!)
#
