# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 5385000000
#
# Children      Self  Shared Object                            
# ........  ........  .........................................
#
   100.00%    96.66%  python3.10d                              
    83.66%     2.51%  libc.so.6                                
    21.17%     0.65%  [unknown]                                
     0.09%     0.09%  libcrypto.so.3                           
     0.09%     0.09%  libm.so.6                                
     0.09%     0.00%  _hashlib.cpython-310d-x86_64-linux-gnu.so
     0.09%     0.00%  _lzma.cpython-310d-x86_64-linux-gnu.so   
     0.09%     0.00%  ld-linux-x86-64.so.2                     


#
# (Cannot load tips.txt file, please install perf!)
#
