# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 5385000000
#
# Overhead  Command      Shared Object     Symbol                                    
# ........  ...........  ................  ..........................................
#
    28.41%  python3-dbg  python3.10d       [.] _PyEval_EvalFrameDefault
     3.53%  python3-dbg  python3.10d       [.] _PyEval_MakeFrameVector
     3.25%  python3-dbg  python3.10d       [.] frame_dealloc.lto_priv.0
     2.88%  python3-dbg  python3.10d       [.] call_function.lto_priv.0
     2.60%  python3-dbg  python3.10d       [.] _PyDict_GetItemHint
     1.86%  python3-dbg  python3.10d       [.] PyTuple_GetItem
     1.86%  python3-dbg  python3.10d       [.] _PyObject_GetMethod
     1.86%  python3-dbg  python3.10d       [.] binary_op1
     1.67%  python3-dbg  python3.10d       [.] _PyMem_DebugCheckAddress
     1.58%  python3-dbg  python3.10d       [.] _PyType_Lookup
     1.58%  python3-dbg  python3.10d       [.] lookdict_split.lto_priv.0
     1.49%  python3-dbg  python3.10d       [.] _PyObject_VectorcallTstate.lto_priv.10
     1.39%  python3-dbg  python3.10d       [.] _PyEval_Vector
     1.39%  python3-dbg  python3.10d       [.] _PyFrame_New_NoTrack
     1.30%  python3-dbg  libc.so.6         [.] __memset_avx2_unaligned_erms
     1.21%  python3-dbg  libc.so.6         [.] pthread_getspecific@@GLIBC_2.34
     1.11%  python3-dbg  python3.10d       [.] _PyFunction_Vectorcall
     1.11%  python3-dbg  python3.10d       [.] float_mul.lto_priv.0
     1.11%  python3-dbg  python3.10d       [.] lookdict_unicode_nodummy
     1.02%  python3-dbg  python3.10d       [.] binary_op
     1.02%  python3-dbg  python3.10d       [.] read_size_t
     0.93%  python3-dbg  python3.10d       [.] dict_dealloc.lto_priv.0
     0.93%  python3-dbg  python3.10d       [.] float_add.lto_priv.0
     0.93%  python3-dbg  python3.10d       [.] float_dealloc.lto_priv.0
     0.93%  python3-dbg  python3.10d       [.] frame_alloc
     0.93%  python3-dbg  python3.10d       [.] insertdict
     0.84%  python3-dbg  python3.10d       [.] PyFloat_FromDouble
     0.84%  python3-dbg  python3.10d       [.] _PyDict_CheckConsistency
     0.84%  python3-dbg  python3.10d       [.] _PyObject_GenericSetAttrWithDict
     0.84%  python3-dbg  python3.10d       [.] is_tstate_valid.lto_priv.0
     0.74%  python3-dbg  python3.10d       [.] PyGILState_Check
     0.74%  python3-dbg  python3.10d       [.] _PyObject_Malloc
     0.74%  python3-dbg  python3.10d       [.] _Py_CheckFunctionResult
     0.65%  python3-dbg  python3.10d       [.] PyDict_SetItem
     0.65%  python3-dbg  python3.10d       [.] _Py_Dealloc
     0.65%  python3-dbg  python3.10d       [.] _Py_NewReference
     0.56%  python3-dbg  python3.10d       [.] PyDict_Contains
     0.56%  python3-dbg  python3.10d       [.] _PyObjectDict_SetItem
     0.56%  python3-dbg  python3.10d       [.] _PyObject_MakeTpCall
     0.56%  python3-dbg  python3.10d       [.] _PyUnicode_FromId
     0.56%  python3-dbg  python3.10d       [.] _Py_CheckSlotResult
     0.56%  python3-dbg  python3.10d       [.] float_sub.lto_priv.0
     0.56%  python3-dbg  python3.10d       [.] subtype_dealloc.lto_priv.0
     0.56%  python3-dbg  python3.10d       [.] write_size_t
     0.46%  python3-dbg  python3.10d       [.] PyNumber_Multiply
     0.46%  python3-dbg  python3.10d       [.] PyObject_SetAttr
     0.46%  python3-dbg  python3.10d       [.] PyType_IsSubtype
     0.46%  python3-dbg  python3.10d       [.] float_div.lto_priv.0
     0.46%  python3-dbg  python3.10d       [.] listiter_next.lto_priv.0
     0.46%  python3-dbg  python3.10d       [.] tupledealloc.lto_priv.0
     0.46%  python3-dbg  python3.10d       [.] type_call.lto_priv.0
     0.46%  python3-dbg  python3.10d       [.] vectorcall_maybe.lto_priv.0
     0.37%  python3-dbg  python3.10d       [.] PyDict_GetItemWithError
     0.37%  python3-dbg  python3.10d       [.] PyUnicode_InternInPlace
     0.37%  python3-dbg  python3.10d       [.] _PyGILState_GetThisThreadState
     0.37%  python3-dbg  python3.10d       [.] _PyMem_DebugRawAlloc
     0.37%  python3-dbg  python3.10d       [.] _PyObject_Call_Prepend
     0.37%  python3-dbg  python3.10d       [.] _PyObject_GC_Alloc
     0.37%  python3-dbg  python3.10d       [.] _PyTrash_end
     0.37%  python3-dbg  python3.10d       [.] _PyTuple_FromArray
     0.37%  python3-dbg  python3.10d       [.] new_dict
     0.37%  python3-dbg  python3.10d       [.] slot_nb_subtract
     0.28%  python3-dbg  python3.10d       [.] PyErr_Occurred
     0.28%  python3-dbg  python3.10d       [.] PyObject_Malloc
     0.28%  python3-dbg  python3.10d       [.] PyType_GenericAlloc
     0.28%  python3-dbg  python3.10d       [.] _PyMem_DebugMalloc
     0.28%  python3-dbg  python3.10d       [.] _PyMem_DebugRawFree
     0.28%  python3-dbg  python3.10d       [.] _PyObject_Free
     0.28%  python3-dbg  python3.10d       [.] _PyObject_VectorcallTstate.lto_priv.6
     0.28%  python3-dbg  python3.10d       [.] _PyUnicode_CheckConsistency
     0.28%  python3-dbg  python3.10d       [.] arena_map_get
     0.28%  python3-dbg  python3.10d       [.] arena_map_is_used
     0.28%  python3-dbg  python3.10d       [.] get_small_int.lto_priv.0
     0.28%  python3-dbg  python3.10d       [.] get_type_cache.lto_priv.0
     0.28%  python3-dbg  python3.10d       [.] lookup_maybe_method.lto_priv.0
     0.28%  python3-dbg  python3.10d       [.] pymalloc_pool_extend
     0.28%  python3-dbg  python3.10d       [.] slot_tp_init
     0.28%  python3-dbg  python3.10d       [.] vgetargskeywords
     0.19%  python3-dbg  python3.10d       [.] PyCallable_Check
     0.19%  python3-dbg  python3.10d       [.] PyMem_Free
     0.19%  python3-dbg  python3.10d       [.] PyNumber_Subtract
     0.19%  python3-dbg  python3.10d       [.] PyObject_ClearWeakRefs
     0.19%  python3-dbg  python3.10d       [.] PyObject_GC_UnTrack
     0.19%  python3-dbg  python3.10d       [.] PyObject_GenericSetAttr
     0.19%  python3-dbg  python3.10d       [.] PyObject_IsTrue
     0.19%  python3-dbg  python3.10d       [.] _PyDict_ContainsId
     0.19%  python3-dbg  python3.10d       [.] _PyObject_FastCallDictTstate
     0.19%  python3-dbg  python3.10d       [.] _PyObject_IsFreed
     0.19%  python3-dbg  python3.10d       [.] _PyTrash_begin
     0.19%  python3-dbg  python3.10d       [.] _PyType_LookupId
     0.19%  python3-dbg  python3.10d       [.] address_in_range
     0.19%  python3-dbg  python3.10d       [.] convert_to_double
     0.19%  python3-dbg  python3.10d       [.] get_tuple_state
     0.19%  python3-dbg  python3.10d       [.] list_resize
     0.19%  python3-dbg  python3.10d       [.] long_mul.lto_priv.0
     0.19%  python3-dbg  python3.10d       [.] long_sub.lto_priv.0
     0.19%  python3-dbg  python3.10d       [.] new_dict_with_shared_keys.lto_priv.0
     0.19%  python3-dbg  python3.10d       [.] r_object
     0.09%  python3-dbg  libcrypto.so.3    [.] 0x00000000001bbe73
     0.09%  python3-dbg  libm.so.6         [.] __sqrt
     0.09%  python3-dbg  python3.10d       [.] PyBool_FromLong
     0.09%  python3-dbg  python3.10d       [.] PyMem_Malloc
     0.09%  python3-dbg  python3.10d       [.] PyNumber_Add
     0.09%  python3-dbg  python3.10d       [.] PyObject_Free
     0.09%  python3-dbg  python3.10d       [.] PyObject_GetAttr
     0.09%  python3-dbg  python3.10d       [.] PyObject_GetItem
     0.09%  python3-dbg  python3.10d       [.] PyObject_IS_GC
     0.09%  python3-dbg  python3.10d       [.] PyObject_RichCompare
     0.09%  python3-dbg  python3.10d       [.] PyObject_RichCompareBool
     0.09%  python3-dbg  python3.10d       [.] PyThread_tss_get
     0.09%  python3-dbg  python3.10d       [.] _PyLong_Sign
     0.09%  python3-dbg  python3.10d       [.] _PyMem_DebugFree
     0.09%  python3-dbg  python3.10d       [.] _PyMem_DebugRawCalloc
     0.09%  python3-dbg  python3.10d       [.] _PyMem_DebugRawRealloc
     0.09%  python3-dbg  python3.10d       [.] _PyObject_GC_New
     0.09%  python3-dbg  python3.10d       [.] _PyPegen_expect_token
     0.09%  python3-dbg  python3.10d       [.] builtin_getattr
     0.09%  python3-dbg  python3.10d       [.] excess_args
     0.09%  python3-dbg  python3.10d       [.] float_richcompare.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] func_clear.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] func_dealloc.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] gc_list_size
     0.09%  python3-dbg  python3.10d       [.] get_array_state
     0.09%  python3-dbg  python3.10d       [.] get_float_state
     0.09%  python3-dbg  python3.10d       [.] list_dealloc.lto_priv.0
     0.09%  python3-dbg  python3.10d       [.] list_extend.lto_priv.0
