# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 5345000000
#
# Overhead  Command      Shared Object     Symbol                                     
# ........  ...........  ................  ...........................................
#
    29.56%  python3-dbg  python3.10d       [.] _PyEval_EvalFrameDefault
     3.37%  python3-dbg  python3.10d       [.] frame_dealloc.lto_priv.0
     3.18%  python3-dbg  python3.10d       [.] _PyEval_MakeFrameVector
     2.62%  python3-dbg  python3.10d       [.] call_function.lto_priv.0
     2.15%  python3-dbg  python3.10d       [.] _PyDict_GetItemHint
     2.06%  python3-dbg  python3.10d       [.] PyTuple_GetItem
     1.78%  python3-dbg  python3.10d       [.] _PyMem_DebugCheckAddress
     1.78%  python3-dbg  python3.10d       [.] _PyObject_VectorcallTstate.lto_priv.10
     1.78%  python3-dbg  python3.10d       [.] _PyType_Lookup
     1.68%  python3-dbg  python3.10d       [.] _PyObject_GetMethod
     1.50%  python3-dbg  python3.10d       [.] _Py_NewReference
     1.50%  python3-dbg  python3.10d       [.] binary_op1
     1.40%  python3-dbg  python3.10d       [.] insertdict
     1.40%  python3-dbg  python3.10d       [.] lookdict_split.lto_priv.0
     1.31%  python3-dbg  python3.10d       [.] PyFloat_FromDouble
     1.31%  python3-dbg  python3.10d       [.] _PyFunction_Vectorcall
     1.22%  python3-dbg  python3.10d       [.] PyType_IsSubtype
     1.22%  python3-dbg  python3.10d       [.] _PyEval_Vector
     1.22%  python3-dbg  python3.10d       [.] _PyUnicode_FromId
     1.22%  python3-dbg  python3.10d       [.] read_size_t
     1.12%  python3-dbg  python3.10d       [.] float_mul.lto_priv.0
     1.12%  python3-dbg  python3.10d       [.] lookdict_unicode_nodummy
     1.03%  python3-dbg  libc.so.6         [.] pthread_getspecific@@GLIBC_2.34
     1.03%  python3-dbg  python3.10d       [.] _PyFrame_New_NoTrack
     0.94%  python3-dbg  libc.so.6         [.] __memset_avx2_unaligned_erms
     0.94%  python3-dbg  python3.10d       [.] _Py_CheckFunctionResult
     0.84%  python3-dbg  python3.10d       [.] PyDict_Contains
     0.84%  python3-dbg  python3.10d       [.] _PyObjectDict_SetItem
     0.84%  python3-dbg  python3.10d       [.] float_dealloc.lto_priv.0
     0.75%  python3-dbg  python3.10d       [.] _PyObject_Malloc
     0.75%  python3-dbg  python3.10d       [.] _Py_Dealloc
     0.75%  python3-dbg  python3.10d       [.] arena_map_get
     0.75%  python3-dbg  python3.10d       [.] is_tstate_valid.lto_priv.0
     0.75%  python3-dbg  python3.10d       [.] lookup_maybe_method.lto_priv.0
     0.75%  python3-dbg  python3.10d       [.] tupledealloc.lto_priv.0
     0.65%  python3-dbg  python3.10d       [.] _PyObject_GenericSetAttrWithDict
     0.65%  python3-dbg  python3.10d       [.] binary_op
     0.65%  python3-dbg  python3.10d       [.] subtype_dealloc.lto_priv.0
     0.56%  python3-dbg  python3.10d       [.] PyNumber_Multiply
     0.56%  python3-dbg  python3.10d       [.] _PyObject_GenericGetAttrWithDict
     0.56%  python3-dbg  python3.10d       [.] float_sub.lto_priv.0
     0.56%  python3-dbg  python3.10d       [.] frame_alloc
     0.47%  python3-dbg  python3.10d       [.] PyObject_SetAttr
     0.47%  python3-dbg  python3.10d       [.] _PyDict_CheckConsistency
     0.47%  python3-dbg  python3.10d       [.] _PyMem_DebugRawAlloc
     0.47%  python3-dbg  python3.10d       [.] _PyObject_Free
     0.47%  python3-dbg  python3.10d       [.] dict_dealloc.lto_priv.0
     0.47%  python3-dbg  python3.10d       [.] get_float_state
     0.47%  python3-dbg  python3.10d       [.] new_dict
     0.47%  python3-dbg  python3.10d       [.] vectorcall_maybe.lto_priv.0
     0.37%  python3-dbg  python3.10d       [.] PyDict_GetItemWithError
     0.37%  python3-dbg  python3.10d       [.] PyGILState_Check
     0.37%  python3-dbg  python3.10d       [.] PyObject_IS_GC
     0.37%  python3-dbg  python3.10d       [.] PyThreadState_Get
     0.37%  python3-dbg  python3.10d       [.] PyType_GenericAlloc
     0.37%  python3-dbg  python3.10d       [.] _PyObject_FastCallDictTstate
     0.37%  python3-dbg  python3.10d       [.] _PyObject_MakeTpCall
     0.37%  python3-dbg  python3.10d       [.] _PyObject_VectorcallTstate.lto_priv.6
     0.37%  python3-dbg  python3.10d       [.] _PyTrash_begin
     0.37%  python3-dbg  python3.10d       [.] float_add.lto_priv.0
     0.37%  python3-dbg  python3.10d       [.] slot_nb_subtract
     0.28%  python3-dbg  python3.10d       [.] PyDict_SetItem
     0.28%  python3-dbg  python3.10d       [.] PyNumber_Subtract
     0.28%  python3-dbg  python3.10d       [.] _PyObject_GC_Alloc
     0.28%  python3-dbg  python3.10d       [.] _PyTuple_FromArray
     0.28%  python3-dbg  python3.10d       [.] arena_map_is_used
     0.28%  python3-dbg  python3.10d       [.] convert_to_double
     0.28%  python3-dbg  python3.10d       [.] tuple_alloc
     0.28%  python3-dbg  python3.10d       [.] write_size_t
     0.19%  python3-dbg  python3.10d       [.] PyCallable_Check
     0.19%  python3-dbg  python3.10d       [.] PyList_Append
     0.19%  python3-dbg  python3.10d       [.] PyNumber_Add
     0.19%  python3-dbg  python3.10d       [.] PyObject_RichCompare
     0.19%  python3-dbg  python3.10d       [.] PyThread_tss_get
     0.19%  python3-dbg  python3.10d       [.] PyThread_tss_is_created
     0.19%  python3-dbg  python3.10d       [.] _PyTrash_cond
     0.19%  python3-dbg  python3.10d       [.] _PyUnicode_CheckConsistency
     0.19%  python3-dbg  python3.10d       [.] find_empty_slot
     0.19%  python3-dbg  python3.10d       [.] get_tuple_state
     0.19%  python3-dbg  python3.10d       [.] get_type_cache.lto_priv.0
     0.19%  python3-dbg  python3.10d       [.] list_iter.lto_priv.0
     0.19%  python3-dbg  python3.10d       [.] new_dict_with_shared_keys.lto_priv.0
