# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 5340000000
#
# Overhead  Command      Shared Object     Symbol                                    
# ........  ...........  ................  ..........................................
#
    25.47%  python3-dbg  python3.10d       [.] _PyEval_EvalFrameDefault
     4.21%  python3-dbg  python3.10d       [.] call_function.lto_priv.0
     3.18%  python3-dbg  python3.10d       [.] frame_dealloc.lto_priv.0
     2.81%  python3-dbg  python3.10d       [.] _PyEval_MakeFrameVector
     2.53%  python3-dbg  python3.10d       [.] _PyDict_GetItemHint
     2.53%  python3-dbg  python3.10d       [.] _PyType_Lookup
     2.15%  python3-dbg  python3.10d       [.] _PyObject_GetMethod
     2.15%  python3-dbg  python3.10d       [.] _PyObject_VectorcallTstate.lto_priv.10
     2.15%  python3-dbg  python3.10d       [.] binary_op1
     2.06%  python3-dbg  python3.10d       [.] PyTuple_GetItem
     1.59%  python3-dbg  libc.so.6         [.] pthread_getspecific@@GLIBC_2.34
     1.59%  python3-dbg  python3.10d       [.] subtype_dealloc.lto_priv.0
     1.50%  python3-dbg  python3.10d       [.] insertdict
     1.40%  python3-dbg  python3.10d       [.] PyFloat_FromDouble
     1.40%  python3-dbg  python3.10d       [.] _PyMem_DebugCheckAddress
     1.31%  python3-dbg  python3.10d       [.] _PyFunction_Vectorcall
     1.22%  python3-dbg  python3.10d       [.] read_size_t
     1.12%  python3-dbg  python3.10d       [.] _Py_CheckFunctionResult
     1.12%  python3-dbg  python3.10d       [.] tupledealloc.lto_priv.0
     1.03%  python3-dbg  python3.10d       [.] _Py_NewReference
     1.03%  python3-dbg  python3.10d       [.] lookdict_split.lto_priv.0
     0.94%  python3-dbg  python3.10d       [.] PyObject_SetAttr
     0.94%  python3-dbg  python3.10d       [.] _PyEval_Vector
     0.94%  python3-dbg  python3.10d       [.] _PyFrame_New_NoTrack
     0.94%  python3-dbg  python3.10d       [.] lookdict_unicode_nodummy
     0.84%  python3-dbg  libc.so.6         [.] __memset_avx2_unaligned_erms
     0.84%  python3-dbg  python3.10d       [.] _PyDict_CheckConsistency
     0.84%  python3-dbg  python3.10d       [.] float_dealloc.lto_priv.0
     0.75%  python3-dbg  python3.10d       [.] PyDict_Contains
     0.75%  python3-dbg  python3.10d       [.] PyDict_GetItemWithError
     0.75%  python3-dbg  python3.10d       [.] _PyMem_DebugRawAlloc
     0.75%  python3-dbg  python3.10d       [.] float_add.lto_priv.0
     0.75%  python3-dbg  python3.10d       [.] frame_alloc
     0.66%  python3-dbg  python3.10d       [.] _PyObject_MakeTpCall
     0.66%  python3-dbg  python3.10d       [.] _PyTrash_begin
     0.66%  python3-dbg  python3.10d       [.] float_mul.lto_priv.0
     0.56%  python3-dbg  python3.10d       [.] PyGILState_Check
     0.56%  python3-dbg  python3.10d       [.] _PyObjectDict_SetItem
     0.56%  python3-dbg  python3.10d       [.] _PyObject_FastCallDictTstate
     0.56%  python3-dbg  python3.10d       [.] _PyObject_GenericSetAttrWithDict
     0.56%  python3-dbg  python3.10d       [.] _PyUnicode_FromId
     0.56%  python3-dbg  python3.10d       [.] binary_op
     0.47%  python3-dbg  python3.10d       [.] PyType_IsSubtype
     0.47%  python3-dbg  python3.10d       [.] _PyUnicode_CheckConsistency
     0.47%  python3-dbg  python3.10d       [.] _Py_CheckSlotResult
     0.47%  python3-dbg  python3.10d       [.] arena_map_is_used
     0.47%  python3-dbg  python3.10d       [.] dict_dealloc.lto_priv.0
     0.37%  python3-dbg  python3.10d       [.] PyObject_IS_GC
     0.37%  python3-dbg  python3.10d       [.] _PyObject_GenericGetAttrWithDict
     0.37%  python3-dbg  python3.10d       [.] _PyObject_GetDictPtr
     0.37%  python3-dbg  python3.10d       [.] _PyTuple_FromArray
     0.37%  python3-dbg  python3.10d       [.] _Py_Dealloc
