# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 823  of event 'cycles'
# Event count (approx.): 4115000000
#
# Overhead  Command      Shared Object     Symbol                                    
# ........  ...........  ................  ..........................................
#
    27.58%  python3-dbg  python3.10d       [.] _PyEval_EvalFrameDefault
     3.28%  python3-dbg  python3.10d       [.] frame_dealloc.lto_priv.0
     2.67%  python3-dbg  python3.10d       [.] _PyEval_MakeFrameVector
     2.67%  python3-dbg  python3.10d       [.] call_function.lto_priv.0
     2.43%  python3-dbg  python3.10d       [.] _PyObject_VectorcallTstate.lto_priv.10
     2.31%  python3-dbg  python3.10d       [.] PyTuple_GetItem
     2.19%  python3-dbg  python3.10d       [.] binary_op1
     2.07%  python3-dbg  python3.10d       [.] _PyObject_GetMethod
     1.82%  python3-dbg  python3.10d       [.] read_size_t
     1.58%  python3-dbg  python3.10d       [.] _PyDict_GetItemHint
     1.46%  python3-dbg  python3.10d       [.] _PyEval_Vector
     1.46%  python3-dbg  python3.10d       [.] _PyMem_DebugCheckAddress
     1.34%  python3-dbg  python3.10d       [.] _PyFrame_New_NoTrack
     1.34%  python3-dbg  python3.10d       [.] lookdict_split.lto_priv.0
     1.22%  python3-dbg  libc.so.6         [.] pthread_getspecific@@GLIBC_2.34
     1.22%  python3-dbg  python3.10d       [.] float_dealloc.lto_priv.0
     1.22%  python3-dbg  python3.10d       [.] insertdict
     1.09%  python3-dbg  libc.so.6         [.] __memset_avx2_unaligned_erms
     1.09%  python3-dbg  python3.10d       [.] PyObject_SetAttr
     1.09%  python3-dbg  python3.10d       [.] PyType_IsSubtype
     1.09%  python3-dbg  python3.10d       [.] _Py_CheckFunctionResult
     1.09%  python3-dbg  python3.10d       [.] float_mul.lto_priv.0
     1.09%  python3-dbg  python3.10d       [.] lookdict_unicode_nodummy
     0.97%  python3-dbg  python3.10d       [.] _PyObject_Malloc
     0.97%  python3-dbg  python3.10d       [.] _PyType_Lookup
     0.97%  python3-dbg  python3.10d       [.] is_tstate_valid.lto_priv.0
     0.85%  python3-dbg  python3.10d       [.] _PyFunction_Vectorcall
     0.85%  python3-dbg  python3.10d       [.] float_add.lto_priv.0
     0.73%  python3-dbg  python3.10d       [.] PyFloat_FromDouble
     0.73%  python3-dbg  python3.10d       [.] PyThread_tss_get
     0.73%  python3-dbg  python3.10d       [.] _PyUnicode_FromId
     0.73%  python3-dbg  python3.10d       [.] lookup_maybe_method.lto_priv.0
     0.73%  python3-dbg  python3.10d       [.] tupledealloc.lto_priv.0
     0.61%  python3-dbg  python3.10d       [.] _PyObject_MakeTpCall
     0.61%  python3-dbg  python3.10d       [.] frame_alloc
     0.61%  python3-dbg  python3.10d       [.] listiter_next.lto_priv.0
     0.49%  python3-dbg  python3.10d       [.] PyDict_Contains
     0.49%  python3-dbg  python3.10d       [.] PyDict_GetItemWithError
     0.49%  python3-dbg  python3.10d       [.] PyDict_SetItem
     0.49%  python3-dbg  python3.10d       [.] PyGILState_Check
     0.49%  python3-dbg  python3.10d       [.] PyNumber_Multiply
     0.49%  python3-dbg  python3.10d       [.] PyObject_IS_GC
     0.49%  python3-dbg  python3.10d       [.] _PyDict_CheckConsistency
     0.49%  python3-dbg  python3.10d       [.] _PyObjectDict_SetItem
     0.49%  python3-dbg  python3.10d       [.] _PyObject_GetDictPtr
     0.49%  python3-dbg  python3.10d       [.] _Py_NewReference
     0.49%  python3-dbg  python3.10d       [.] binary_op
     0.36%  python3-dbg  python3.10d       [.] PyNumber_Add
     0.36%  python3-dbg  python3.10d       [.] PyObject_GetItem
     0.36%  python3-dbg  python3.10d       [.] PyUnicode_InternInPlace
     0.36%  python3-dbg  python3.10d       [.] _PyMem_DebugFree
     0.36%  python3-dbg  python3.10d       [.] _PyMem_DebugMalloc
     0.36%  python3-dbg  python3.10d       [.] _PyMem_DebugRawAlloc
     0.36%  python3-dbg  python3.10d       [.] _PyObject_GenericSetAttrWithDict
     0.36%  python3-dbg  python3.10d       [.] _PyTrash_end
     0.36%  python3-dbg  python3.10d       [.] _PyType_LookupId
     0.36%  python3-dbg  python3.10d       [.] _Py_CheckSlotResult
     0.36%  python3-dbg  python3.10d       [.] arena_map_get
     0.36%  python3-dbg  python3.10d       [.] arena_map_is_used
     0.36%  python3-dbg  python3.10d       [.] dict_dealloc.lto_priv.0
     0.36%  python3-dbg  python3.10d       [.] float_sub.lto_priv.0
     0.36%  python3-dbg  python3.10d       [.] list_dealloc.lto_priv.0
     0.36%  python3-dbg  python3.10d       [.] tuple_alloc
     0.24%  python3-dbg  libc.so.6         [.] __strchr_avx2
     0.24%  python3-dbg  python3.10d       [.] PyErr_Occurred
     0.24%  python3-dbg  python3.10d       [.] PyList_Append
     0.24%  python3-dbg  python3.10d       [.] PyObject_GC_Del
     0.24%  python3-dbg  python3.10d       [.] PyObject_GC_UnTrack
     0.24%  python3-dbg  python3.10d       [.] PyObject_GenericSetAttr
     0.24%  python3-dbg  python3.10d       [.] PyThread_tss_is_created
     0.24%  python3-dbg  python3.10d       [.] _PyMem_DebugRawMalloc
     0.24%  python3-dbg  python3.10d       [.] _PyObject_Free
     0.24%  python3-dbg  python3.10d       [.] _PyObject_GC_New
     0.24%  python3-dbg  python3.10d       [.] _PyObject_VectorcallTstate.lto_priv.6
     0.24%  python3-dbg  python3.10d       [.] _PyTuple_FromArray
     0.24%  python3-dbg  python3.10d       [.] _Py_Dealloc
     0.24%  python3-dbg  python3.10d       [.] app1
     0.24%  python3-dbg  python3.10d       [.] cell_dealloc.lto_priv.0
     0.24%  python3-dbg  python3.10d       [.] cfunction_vectorcall_O.lto_priv.0
     0.24%  python3-dbg  python3.10d       [.] get_tuple_state
     0.24%  python3-dbg  python3.10d       [.] long_mul.lto_priv.0
     0.24%  python3-dbg  python3.10d       [.] slot_nb_subtract
     0.24%  python3-dbg  python3.10d       [.] subtype_dealloc.lto_priv.0
     0.24%  python3-dbg  python3.10d       [.] validate_list
     0.24%  python3-dbg  python3.10d       [.] vectorcall_maybe.lto_priv.0
     0.24%  python3-dbg  [unknown]         [k] 0xffffffffab9869b7
     0.12%  python3-dbg  libc.so.6         [.] __memcmp_avx2_movbe
     0.12%  python3-dbg  libc.so.6         [.] __strlen_avx2
     0.12%  python3-dbg  libc.so.6         [.] _int_free
     0.12%  python3-dbg  libcrypto.so.3    [.] 0x00000000001aced6
     0.12%  python3-dbg  python3.10d       [.] PyCallable_Check
     0.12%  python3-dbg  python3.10d       [.] PyFunction_NewWithQualName
     0.12%  python3-dbg  python3.10d       [.] PyList_New
     0.12%  python3-dbg  python3.10d       [.] PyLong_AsDouble
     0.12%  python3-dbg  python3.10d       [.] PyLong_AsSsize_t
     0.12%  python3-dbg  python3.10d       [.] PyLong_FromLongLong
     0.12%  python3-dbg  python3.10d       [.] PyMem_Calloc
     0.12%  python3-dbg  python3.10d       [.] PyNumber_AsSsize_t
     0.12%  python3-dbg  python3.10d       [.] PyNumber_Subtract
     0.12%  python3-dbg  python3.10d       [.] PyObject_Free
     0.12%  python3-dbg  python3.10d       [.] PyObject_IsTrue
     0.12%  python3-dbg  python3.10d       [.] PyObject_Malloc
     0.12%  python3-dbg  python3.10d       [.] PyObject_RichCompare
     0.12%  python3-dbg  python3.10d       [.] PyObject_RichCompareBool
     0.12%  python3-dbg  python3.10d       [.] PyType_GenericAlloc
     0.12%  python3-dbg  python3.10d       [.] PyUnicode_RichCompare
     0.12%  python3-dbg  python3.10d       [.] _PyBytes_Resize
     0.12%  python3-dbg  python3.10d       [.] _PyDict_GetItem_KnownHash
     0.12%  python3-dbg  python3.10d       [.] _PyDict_MaybeUntrack
     0.12%  python3-dbg  python3.10d       [.] _PyGILState_GetThisThreadState
     0.12%  python3-dbg  python3.10d       [.] _PyLong_FromGid
     0.12%  python3-dbg  python3.10d       [.] _PyObject_Call
     0.12%  python3-dbg  python3.10d       [.] _PyObject_Call_Prepend
     0.12%  python3-dbg  python3.10d       [.] _PyObject_FastCallDictTstate
     0.12%  python3-dbg  python3.10d       [.] _PyObject_GC_Malloc
     0.12%  python3-dbg  python3.10d       [.] _PyPegen_number_token
     0.12%  python3-dbg  python3.10d       [.] _PyTrash_begin
     0.12%  python3-dbg  python3.10d       [.] _PyTrash_cond
     0.12%  python3-dbg  python3.10d       [.] _PyUnicode_CheckConsistency
     0.12%  python3-dbg  python3.10d       [.] array_new
     0.12%  python3-dbg  python3.10d       [.] convert_to_double
     0.12%  python3-dbg  python3.10d       [.] convertsimple
     0.12%  python3-dbg  python3.10d       [.] do_call_core.lto_priv.0
