# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 552  of event 'cycles'
# Event count (approx.): 2760000000
#
# Overhead  Command      Shared Object     Symbol                                    
# ........  ...........  ................  ..........................................
#
    31.52%  python3-dbg  python3.10d       [.] _PyEval_EvalFrameDefault
     4.35%  python3-dbg  python3.10d       [.] _PyDict_GetItemHint
     3.99%  python3-dbg  python3.10d       [.] call_function.lto_priv.0
     2.54%  python3-dbg  python3.10d       [.] frame_dealloc.lto_priv.0
     2.36%  python3-dbg  python3.10d       [.] _PyEval_MakeFrameVector
     2.36%  python3-dbg  python3.10d       [.] _PyObject_VectorcallTstate.lto_priv.10
     2.17%  python3-dbg  python3.10d       [.] PyTuple_GetItem
     1.99%  python3-dbg  python3.10d       [.] binary_op1
     1.99%  python3-dbg  python3.10d       [.] lookdict_split.lto_priv.0
     1.81%  python3-dbg  python3.10d       [.] lookdict_unicode_nodummy
     1.27%  python3-dbg  python3.10d       [.] PyFloat_FromDouble
     1.09%  python3-dbg  python3.10d       [.] _PyFunction_Vectorcall
     1.09%  python3-dbg  python3.10d       [.] _PyType_Lookup
     1.09%  python3-dbg  python3.10d       [.] _Py_CheckSlotResult
     1.09%  python3-dbg  python3.10d       [.] _Py_NewReference
     0.91%  python3-dbg  python3.10d       [.] PyDict_GetItemWithError
     0.91%  python3-dbg  python3.10d       [.] PyNumber_Multiply
     0.91%  python3-dbg  python3.10d       [.] _PyMem_DebugCheckAddress
     0.91%  python3-dbg  python3.10d       [.] float_dealloc.lto_priv.0
     0.72%  python3-dbg  libc.so.6         [.] __memset_avx2_unaligned_erms
     0.72%  python3-dbg  libc.so.6         [.] pthread_getspecific@@GLIBC_2.34
     0.72%  python3-dbg  python3.10d       [.] PyObject_SetAttr
     0.72%  python3-dbg  python3.10d       [.] PyType_IsSubtype
     0.72%  python3-dbg  python3.10d       [.] _PyDict_CheckConsistency
     0.72%  python3-dbg  python3.10d       [.] _PyEval_Vector
     0.72%  python3-dbg  python3.10d       [.] _PyObject_GetMethod
     0.72%  python3-dbg  python3.10d       [.] float_add.lto_priv.0
     0.72%  python3-dbg  python3.10d       [.] float_sub.lto_priv.0
     0.72%  python3-dbg  python3.10d       [.] read_size_t
     0.72%  python3-dbg  python3.10d       [.] tupledealloc.lto_priv.0
     0.72%  python3-dbg  python3.10d       [.] write_size_t
